indonesian_original,indonesian,papua_kokas,is_augmented
salad sayur adalah camilan favorit saya,salad sayur adalah camilan favorit saya,salad sayur ecemilan favorit,False
tolong beri tahu saya cara menggunakan alat ini,Bisakah Anda menjelaskan cara pengoperasian alat ini?,tolong farok ati yai cara tagunakan porkakas ige,True
tolong beri tahu saya cara menggunakan alat ini,tolong beri tahu saya cara menggunakan alat ini,tolong farok ati yai cara tagunakan porkakas ige,False
apa pendapatmu tentang keberlanjutan bagaimana pengalamanmu dengan keberlanjutan,Bagaimana pendapatmu tentang keberlanjutan dan pengalaman pribadimu terkait hal tersebut?,o pendapat akape adi berkelanjutan o pengalaman akape adi berkelanjutan,True
apa pendapatmu tentang keberlanjutan bagaimana pengalamanmu dengan keberlanjutan,apa pendapatmu tentang keberlanjutan bagaimana pengalamanmu dengan keberlanjutan,o pendapat akape adi berkelanjutan o pengalaman akape adi berkelanjutan,False
pembelajaran kolaboratif untuk mempromosikan kebersamaan dan kerja tim,Pembelajaran kolaboratif bertujuan untuk mengembangkan rasa kebersamaan dan kemampuan kerja tim.,tabelajar kolaboratif buat taftota ita kebersamaan adi kerja tim,True
pembelajaran kolaboratif untuk mempromosikan kebersamaan dan kerja tim,pembelajaran kolaboratif untuk mempromosikan kebersamaan dan kerja tim,tabelajar kolaboratif buat taftota ita kebersamaan adi kerja tim,False
saya suka musik jazz,Saya menggemari musik jazz.,yai suka musik jaz,True
saya suka musik jazz,saya suka musik jazz,yai suka musik jaz,False
"iya, aku suka belajar resep baru","Benar, saya senang mempelajari resep-resep baru.","yo, yai suka belajar resep beri-beri",True
"iya, aku suka belajar resep baru","iya, aku suka belajar resep baru","yo, yai suka belajar resep beri-beri",False
siswa di sekolah diberikan tanggung jawab untuk proyek-proyek mandiri,Para siswa di sekolah diberi tanggung jawab untuk mengerjakan proyek secara mandiri.,kapiropir ami sakolah ana sina tanggungjawab buat proyek-proyek mandiri,True
siswa di sekolah diberikan tanggung jawab untuk proyek-proyek mandiri,siswa di sekolah diberikan tanggung jawab untuk proyek-proyek mandiri,kapiropir ami sakolah ana sina tanggungjawab buat proyek-proyek mandiri,False
tolong beri tahu saya cara menggunakan alat kesehatan ini,Bisakah Anda memberikan petunjuk penggunaan alat kesehatan ini?,tolong farok ati yai cara ta gunakan porkakas kesehatan ige,True
tolong beri tahu saya cara menggunakan alat kesehatan ini,tolong beri tahu saya cara menggunakan alat kesehatan ini,tolong farok ati yai cara ta gunakan porkakas kesehatan ige,False
. bagaimana caramu menjaga kebersihan di lingkungan sekitar?,Bagaimana cara Anda menjaga kebersihan di lingkungan tempat tinggal?,o cara akape mi jaga kebersihan lingkungan sekitar?,True
. bagaimana caramu menjaga kebersihan di lingkungan sekitar?,. bagaimana caramu menjaga kebersihan di lingkungan sekitar?,o cara akape mi jaga kebersihan lingkungan sekitar?,False
aku suka film aksi dan komedi,Saya menyukai film bergenre aksi dan komedi.,yai suka film aksi adi komedi,True
aku suka film aksi dan komedi,aku suka film aksi dan komedi,yai suka film aksi adi komedi,False
bagaimana cara membuat spaghetti bolognese yang enak,Bagaimana langkah-langkah membuat spaghetti bolognese yang lezat?,akape tana spageti bolognese yang kues,True
bagaimana cara membuat spaghetti bolognese yang enak,bagaimana cara membuat spaghetti bolognese yang enak,akape tana spageti bolognese yang kues,False
bagaimana pendapatmu tentang masakan ini rasanya bagaimana,Bagaimana pendapatmu tentang masakan ini dan bagaimana rasanya?,opendapat akape adi kumnamin ige irasa akape,True
bagaimana pendapatmu tentang masakan ini rasanya bagaimana,bagaimana pendapatmu tentang masakan ini rasanya bagaimana,opendapat akape adi kumnamin ige irasa akape,False
saya ingin belajar memasak hidangan khas daerah ini,Saya berminat untuk mempelajari cara memasak hidangan khas daerah ini.,yai emau balajar afrubir hidangan khas urag ige,True
saya ingin belajar memasak hidangan khas daerah ini,saya ingin belajar memasak hidangan khas daerah ini,yai emau balajar afrubir hidangan khas urag ige,False
tolong beri tahu saya cara menuju ke kantor pos terdekat,Bisakah Anda menunjukkan arah menuju kantor pos terdekat?,tolong farok ati yai cara tati kantor pos paling karagragar,True
tolong beri tahu saya cara menuju ke kantor pos terdekat,tolong beri tahu saya cara menuju ke kantor pos terdekat,tolong farok ati yai cara tati kantor pos paling karagragar,False
. bagaimana caramu menghargai karya seni lokal?,Bagaimana cara Anda menghargai karya seni yang berasal dari lokal?,o cara akape menghargai karya seni urag wanas,True
. bagaimana caramu menghargai karya seni lokal?,. bagaimana caramu menghargai karya seni lokal?,o cara akape menghargai karya seni urag wanas,False
saya senang bisa bekerja sama denganmu dalam proyek ini,Saya merasa senang dapat berkolaborasi dengan Anda dalam proyek ini.,enawan sanang bisa ekarja sama adi o ami proyek ige,True
saya senang bisa bekerja sama denganmu dalam proyek ini,saya senang bisa bekerja sama denganmu dalam proyek ini,enawan sanang bisa ekarja sama adi o ami proyek ige,False
apa pendapatmu tentang pentingnya inovasi dalam sektor perikanan,Bagaimana pandangan Anda mengenai signifikansi inovasi di bidang perikanan?,o pendapat akape adi pentingnya tana perubahan ami nanam sektor perikanan,True
apa pendapatmu tentang pentingnya inovasi dalam sektor perikanan,apa pendapatmu tentang pentingnya inovasi dalam sektor perikanan,o pendapat akape adi pentingnya tana perubahan ami nanam sektor perikanan,False
"saya tidak suka makanan pedas, bisakah diatur tanpa cabai","Saya tidak menyukai makanan pedas, apakah bisa disiapkan tanpa menggunakan cabai?","yai suka ta kumnamin babayar, o bisa miatur tapi bonis adi sapuan",True
"saya tidak suka makanan pedas, bisakah diatur tanpa cabai","saya tidak suka makanan pedas, bisakah diatur tanpa cabai","yai suka ta kumnamin babayar, o bisa miatur tapi bonis adi sapuan",False
bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya donor darah,Bagaimana upaya yang dapat dilakukan untuk meningkatkan kesadaran masyarakat akan pentingnya donor darah?,ita cara akape bisa meningkatkan kesadaran akan pentingnya transfusi rara,True
bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya donor darah,bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya donor darah,ita cara akape bisa meningkatkan kesadaran akan pentingnya transfusi rara,False
apa yang harus dilakukan untuk meningkatkan politik,Apa langkah-langkah yang perlu diambil untuk memajukan bidang politik?,kusafa yang parlu tana buat ta tingkatkan politik,True
apa yang harus dilakukan untuk meningkatkan politik,apa yang harus dilakukan untuk meningkatkan politik,kusafa yang parlu tana buat ta tingkatkan politik,False
fungsi utama sekolah adalah memberikan pengetahuan dan keterampilan kepada generasi muda,Peran utama sekolah adalah membekali generasi muda dengan pengetahuan serta keterampilan.,fungsi partama sakolah ajadikan pengetahuan adi keterampilan ati kukanak muda sina,True
fungsi utama sekolah adalah memberikan pengetahuan dan keterampilan kepada generasi muda,fungsi utama sekolah adalah memberikan pengetahuan dan keterampilan kepada generasi muda,fungsi partama sakolah ajadikan pengetahuan adi keterampilan ati kukanak muda sina,False
bagaimana perkembangan olahraga di indonesia,Bagaimana kondisi perkembangan olahraga di Indonesia?,akape adi perkembangan olahraga ami indonesia,True
bagaimana perkembangan olahraga di indonesia,bagaimana perkembangan olahraga di indonesia,akape adi perkembangan olahraga ami indonesia,False
apa yang kamu ketahui tentang seni tenun di indonesia,Apa yang Anda ketahui mengenai seni tenun yang ada di Indonesia?,o bare kusafa adi semi tenun ami indonesia,True
apa yang kamu ketahui tentang seni tenun di indonesia,apa yang kamu ketahui tentang seni tenun di indonesia,o bare kusafa adi semi tenun ami indonesia,False
cuaca di luar sangat panas hari ini,Hari ini cuaca di luar sangat panas.,cuaca ami munim bayar paskali madige,True
cuaca di luar sangat panas hari ini,cuaca di luar sangat panas hari ini,cuaca ami munim bayar paskali madige,False
keluarga sebagai tempat untuk memahami nilai-nilai keadilan dan kesetaraan,Keluarga merupakan wadah untuk mempelajari nilai-nilai keadilan dan kesetaraan.,ita keluarga tompat buat ta pahami nilai-nilai keadilan adi kesetaraan,True
keluarga sebagai tempat untuk memahami nilai-nilai keadilan dan kesetaraan,keluarga sebagai tempat untuk memahami nilai-nilai keadilan dan kesetaraan,ita keluarga tompat buat ta pahami nilai-nilai keadilan adi kesetaraan,False
kesetiaan kepada diri sendiri dan pasangan untuk membangun hubungan yang kokoh,Kesetiaan terhadap diri sendiri dan pasangan merupakan pondasi untuk membangun hubungan yang kuat.,osetia pada odiri sendiri adi pasangan buat tana hubungan yang maresar,True
kesetiaan kepada diri sendiri dan pasangan untuk membangun hubungan yang kokoh,kesetiaan kepada diri sendiri dan pasangan untuk membangun hubungan yang kokoh,osetia pada odiri sendiri adi pasangan buat tana hubungan yang maresar,False
apakah kamu suka binatang peliharaan,Apakah Anda menyukai binatang peliharaan?,o nawan asigait adi hewan katikkatik,True
apakah kamu suka binatang peliharaan,apakah kamu suka binatang peliharaan,o nawan asigait adi hewan katikkatik,False
"sudah lama kita tidak bertemu, bagaimana kabarmu?","Sudah lama kita tidak berjumpa, bagaimana keadaan Anda?","tuari kaf ita tasinagata, akape adi o kabar?",True
"sudah lama kita tidak bertemu, bagaimana kabarmu?","sudah lama kita tidak bertemu, bagaimana kabarmu?","tuari kaf ita tasinagata, akape adi o kabar?",False
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi emisi karbon","Menurut Anda, langkah apa saja yang dapat dilakukan untuk menurunkan emisi karbon?",menurut o kusafa watan langkah yang bisa tana buat takurangi emisi karbon,True
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi emisi karbon","menurutmu, apa saja langkah yang bisa diambil untuk mengurangi emisi karbon",menurut o kusafa watan langkah yang bisa tana buat takurangi emisi karbon,False
apa yang kamu suka tentang fesyen,Apa yang Anda sukai dari dunia fesyen?,kwai kusafa yang o suka adi fesyen,True
apa yang kamu suka tentang fesyen,apa yang kamu suka tentang fesyen,kwai kusafa yang o suka adi fesyen,False
apa inovasi terbaru dalam persahabatan,Apa inovasi terkini dalam hal persahabatan?,kusafa watan inovasi beri-beri ami nanam ita persahabatan,True
apa inovasi terbaru dalam persahabatan,apa inovasi terbaru dalam persahabatan,kusafa watan inovasi beri-beri ami nanam ita persahabatan,False
perkembangan kecerdasan buatan saat ini sangat mengesankan,Perkembangan kecerdasan buatan saat ini sungguh luar biasa.,parobahan magen kecerdasan sina buat-buat saat ige sangat mengesankan,True
perkembangan kecerdasan buatan saat ini sangat mengesankan,perkembangan kecerdasan buatan saat ini sangat mengesankan,parobahan magen kecerdasan sina buat-buat saat ige sangat mengesankan,False
aku suka sekali dengan hewan peliharaan,Saya sangat menyukai hewan peliharaan.,yai suka adi hewan katikkatik,True
aku suka sekali dengan hewan peliharaan,aku suka sekali dengan hewan peliharaan,yai suka adi hewan katikkatik,False
kegiatan gotong royong dan proyek kebersihan mengajarkan nilai-nilai tanggung jawab sosial di sekolah,Kegiatan gotong royong dan proyek kebersihan mengajarkan nilai-nilai tanggung jawab sosial di lingkungan sekolah.,tana gotong royong adi proyek ta barsih tana nilai tanggungjawab sosial ami sakolah,True
kegiatan gotong royong dan proyek kebersihan mengajarkan nilai-nilai tanggung jawab sosial di sekolah,kegiatan gotong royong dan proyek kebersihan mengajarkan nilai-nilai tanggung jawab sosial di sekolah,tana gotong royong adi proyek ta barsih tana nilai tanggungjawab sosial ami sakolah,False
apa tantangan terbesar dalam wisata,Apa tantangan terbesar dalam dunia pariwisata?,kusafa tantangan paling magen ami wisata nanam,True
apa tantangan terbesar dalam wisata,apa tantangan terbesar dalam wisata,kusafa tantangan paling magen ami wisata nanam,False
apa yang biasanya kamu lakukan saat hari hujan?,Aktivitas apa yang biasa Anda lakukan ketika hari hujan?,o biasa mua kwai kusafa saat rera yagin?,True
apa yang biasanya kamu lakukan saat hari hujan?,apa yang biasanya kamu lakukan saat hari hujan?,o biasa mua kwai kusafa saat rera yagin?,False
apa tantangan terbesar dalam sains,Apa saja tantangan paling besar di bidang sains?,kusafa watan tantangan paling magen ami nanam sains,True
apa tantangan terbesar dalam sains,apa tantangan terbesar dalam sains,kusafa watan tantangan paling magen ami nanam sains,False
peran orang tua dalam mendukung pendidikan anak-anaknya di sekolah sangat penting,Pendidikan anak di sekolah sangat bergantung pada dukungan orang tua.,peran orang tua buat ta dukung sakolah sina kapiropir ami sakolah sangat penting,True
peran orang tua dalam mendukung pendidikan anak-anaknya di sekolah sangat penting,peran orang tua dalam mendukung pendidikan anak-anaknya di sekolah sangat penting,peran orang tua buat ta dukung sakolah sina kapiropir ami sakolah sangat penting,False
bagaimana cara kita bisa meningkatkan partisipasi masyarakat dalam kegiatan budaya?,Bagaimana upaya untuk meningkatkan keterlibatan masyarakat dalam acara budaya?,akape ita cara bisa meningkatkan partisipasi masyarakat ami nanam kegiatan budaya?,True
bagaimana cara kita bisa meningkatkan partisipasi masyarakat dalam kegiatan budaya?,bagaimana cara kita bisa meningkatkan partisipasi masyarakat dalam kegiatan budaya?,akape ita cara bisa meningkatkan partisipasi masyarakat ami nanam kegiatan budaya?,False
bagaimana pengaruh lingkungan terhadap kehidupan sehari-hari,Bagaimana dampak lingkungan pada kehidupan sehari-hari?,akape lingkungan ipengaruh buat ita hidup rerera,True
bagaimana pengaruh lingkungan terhadap kehidupan sehari-hari,bagaimana pengaruh lingkungan terhadap kehidupan sehari-hari,akape lingkungan ipengaruh buat ita hidup rerera,False
bagaimana cara kamu belajar tentang film,Bagaimana metode yang kamu gunakan untuk mempelajari film?,o cara akape balajar tentang film,True
bagaimana cara kamu belajar tentang film,bagaimana cara kamu belajar tentang film,o cara akape balajar tentang film,False
apa yang ingin kamu lakukan saat cuaca cerah seperti ini,Aktivitas apa yang ingin kamu lakukan ketika cuaca begitu cerah?,omau mua kwai safa ami cuaca cerah seperti ige,True
apa yang ingin kamu lakukan saat cuaca cerah seperti ini,apa yang ingin kamu lakukan saat cuaca cerah seperti ini,omau mua kwai safa ami cuaca cerah seperti ige,False
aku biasanya merayakannya dengan teman dan keluarga,Saya umumnya merayakannya bersama teman dan keluarga.,yai biasa merayakannya adi teman adi keluarga,True
aku biasanya merayakannya dengan teman dan keluarga,aku biasanya merayakannya dengan teman dan keluarga,yai biasa merayakannya adi teman adi keluarga,False
apa yang kamu ketahui tentang tokoh-tokoh sejarah indonesia,Apa pengetahuanmu mengenai para tokoh sejarah Indonesia?,o bare kusafa adi tokoh-tokoh sejarah indonesia,True
apa yang kamu ketahui tentang tokoh-tokoh sejarah indonesia,apa yang kamu ketahui tentang tokoh-tokoh sejarah indonesia,o bare kusafa adi tokoh-tokoh sejarah indonesia,False
tolong kirimkan salam saya untuk teman-temanmu,Sampaikan salam saya kepada teman-temanmu.,tolong ekirim salam ati osahabat,True
tolong kirimkan salam saya untuk teman-temanmu,tolong kirimkan salam saya untuk teman-temanmu,tolong ekirim salam ati osahabat,False
kamu punya rencana untuk menghadiri konser musik minggu ini?,Apakah kamu berencana untuk hadir di konser musik minggu ini?,orencana untuk omau ati konser musik minggu ige,True
kamu punya rencana untuk menghadiri konser musik minggu ini?,kamu punya rencana untuk menghadiri konser musik minggu ini?,orencana untuk omau ati konser musik minggu ige,False
saya suka sekali dengan film kategor drama,Saya sangat menyukai film bergenre drama.,yai suka paskali adi film katagori drama,True
saya suka sekali dengan film kategor drama,saya suka sekali dengan film kategor drama,yai suka paskali adi film katagori drama,False
bagaimana cara kamu merayakan hari besar keagamaan di indonesia?,Bagaimana cara perayaan hari besar keagamaan di Indonesia dilakukan?,akape adi o cara merayakan hari magen keagamaan ami indonesia?,True
bagaimana cara kamu merayakan hari besar keagamaan di indonesia?,bagaimana cara kamu merayakan hari besar keagamaan di indonesia?,akape adi o cara merayakan hari magen keagamaan ami indonesia?,False
bagaimana cara kita bisa mendukung program pendidikan gizi di sekolah,Bagaimana upaya mendukung program pendidikan gizi di sekolah?,akape ita cara bisa ta dukung program pendidikan kumnamin sehat ami sakolah,True
bagaimana cara kita bisa mendukung program pendidikan gizi di sekolah,bagaimana cara kita bisa mendukung program pendidikan gizi di sekolah,akape ita cara bisa ta dukung program pendidikan kumnamin sehat ami sakolah,False
bagaimana pandanganmu tentang perkembangan industri musik di indonesia,Bagaimana pendapatmu mengenai kemajuan industri musik di Indonesia?,o pandangan akape adi perkembangan industri musik ami indonesia,True
bagaimana pandanganmu tentang perkembangan industri musik di indonesia,bagaimana pandanganmu tentang perkembangan industri musik di indonesia,o pandangan akape adi perkembangan industri musik ami indonesia,False
rutin melakukan pemeriksaan kesehatan untuk mendeteksi dini potensi masalah kesehatan,Melakukan pemeriksaan kesehatan secara rutin guna mendeteksi dini kemungkinan masalah kesehatan.,rutin ana aperiksa kesehatan bo adeteksi dini potensi masalah kesehatan,True
rutin melakukan pemeriksaan kesehatan untuk mendeteksi dini potensi masalah kesehatan,rutin melakukan pemeriksaan kesehatan untuk mendeteksi dini potensi masalah kesehatan,rutin ana aperiksa kesehatan bo adeteksi dini potensi masalah kesehatan,False
program literasi membantu meningkatkan kemampuan membaca dan menulis siswa,Kemampuan membaca dan menulis siswa meningkat dengan adanya program literasi.,program literasi abantu ati barik siswa sina kemampuan abaca,True
program literasi membantu meningkatkan kemampuan membaca dan menulis siswa,program literasi membantu meningkatkan kemampuan membaca dan menulis siswa,program literasi abantu ati barik siswa sina kemampuan abaca,False
pernahkah kamu ikut lomba lari?,Apakah kamu pernah mengikuti perlombaan lari?,o pernah mosir lomba lari?,True
pernahkah kamu ikut lomba lari?,pernahkah kamu ikut lomba lari?,o pernah mosir lomba lari?,False
kesehatan lingkungan berdampak langsung pada kesehatan masyarakat,Kesehatan masyarakat dipengaruhi langsung oleh kondisi kesehatan lingkungan.,kesehatan lingkungan idampak langsung adi kesehatan masyarakat,True
kesehatan lingkungan berdampak langsung pada kesehatan masyarakat,kesehatan lingkungan berdampak langsung pada kesehatan masyarakat,kesehatan lingkungan idampak langsung adi kesehatan masyarakat,False
. apa yang kamu sukai dari pakaian adat indonesia?,Apa yang kamu sukai dari busana adat Indonesia?,o mi suka kusafa afi kumnasi adat indonesia?,True
. apa yang kamu sukai dari pakaian adat indonesia?,. apa yang kamu sukai dari pakaian adat indonesia?,o mi suka kusafa afi kumnasi adat indonesia?,False
bagaimana cara memesan taksi melalui aplikasi ini,Bagaimana cara melakukan pemesanan taksi melalui aplikasi ini?,akape tafno taksi malalui aplikasi ige,True
bagaimana cara memesan taksi melalui aplikasi ini,bagaimana cara memesan taksi melalui aplikasi ini,akape tafno taksi malalui aplikasi ige,False
apa yang harus dilakukan untuk meningkatkan sejarah,Apa langkah yang perlu diambil untuk memperbaiki sejarah,kwai kusafa yang parlu tana buat ta tingkatkan sejarah,True
apa yang harus dilakukan untuk meningkatkan sejarah,apa yang harus dilakukan untuk meningkatkan sejarah,kwai kusafa yang parlu tana buat ta tingkatkan sejarah,False
bagaimana perkembangan hewan peliharaan di indonesia,Bagaimana kondisi hewan peliharaan berkembang di Indonesia,akape adi ta kembangkan hewan katik katik ami indonesia,True
bagaimana perkembangan hewan peliharaan di indonesia,bagaimana perkembangan hewan peliharaan di indonesia,akape adi ta kembangkan hewan katik katik ami indonesia,False
bagaimana pandanganmu tentang pentingnya literasi media di kalangan masyarakat,Bagaimana pendapatmu mengenai signifikansi literasi media di tengah masyarakat,o pandangan akape adi pentingnya tana perubahan media ami kalangan masyarakat,True
bagaimana pandanganmu tentang pentingnya literasi media di kalangan masyarakat,bagaimana pandanganmu tentang pentingnya literasi media di kalangan masyarakat,o pandangan akape adi pentingnya tana perubahan media ami kalangan masyarakat,False
saya suka mengunjungi museum seni,Saya gemar mendatangi museum seni,yai suka eti museum semi,True
saya suka mengunjungi museum seni,saya suka mengunjungi museum seni,yai suka eti museum semi,False
apa yang bisa kita lakukan untuk mendukung pengembangan teknologi ramah lingkungan di pedesaan,Apa yang dapat dilakukan guna mendorong pengembangan teknologi ramah lingkungan di wilayah pedesaan,kwai kusafa yang bisa tana buat ta dukung pengembangan teknologi ramah lingkungan ami masyarakat,True
apa yang bisa kita lakukan untuk mendukung pengembangan teknologi ramah lingkungan di pedesaan,apa yang bisa kita lakukan untuk mendukung pengembangan teknologi ramah lingkungan di pedesaan,kwai kusafa yang bisa tana buat ta dukung pengembangan teknologi ramah lingkungan ami masyarakat,False
apa yang kamu ketahui tentang sejarah seni batik di indonesia,Apa pengetahuanmu mengenai sejarah seni batik di Indonesia,o bare kusafa tentang sejarah seni batik ami indonesia,True
apa yang kamu ketahui tentang sejarah seni batik di indonesia,apa yang kamu ketahui tentang sejarah seni batik di indonesia,o bare kusafa tentang sejarah seni batik ami indonesia,False
aku suka sekali dengan film bergenre action,Aku sangat menyukai film dengan genre action,yai sanang e fogim film fasasai,True
aku suka sekali dengan film bergenre action,aku suka sekali dengan film bergenre action,yai sanang e fogim film fasasai,False
bagaimana cara kita bisa mendukung program pendidikan gizi di sekolah-sekolah,Bagaimana upaya yang bisa dilakukan untuk mendukung program pendidikan gizi di sekolah-sekolah,akape ita cara bisa ta dukung program pendidikan gizi ami sakolah-sakolah,True
bagaimana cara kita bisa mendukung program pendidikan gizi di sekolah-sekolah,bagaimana cara kita bisa mendukung program pendidikan gizi di sekolah-sekolah,akape ita cara bisa ta dukung program pendidikan gizi ami sakolah-sakolah,False
sudah pernah ke museum ini?,Pernahkah kamu mengunjungi museum ini?,o pernah ati museum ige?,True
sudah pernah ke museum ini?,sudah pernah ke museum ini?,o pernah ati museum ige?,False
apa yang bisa kita lakukan untuk mengurangi dampak negatif dari urbanisasi?,Apa yang dapat kita lakukan guna menekan dampak buruk dari urbanisasi?,kwai kusafa yang bisa tana buat mengurangi dampak finta afi urbanisasi?,True
apa yang bisa kita lakukan untuk mengurangi dampak negatif dari urbanisasi?,apa yang bisa kita lakukan untuk mengurangi dampak negatif dari urbanisasi?,kwai kusafa yang bisa tana buat mengurangi dampak finta afi urbanisasi?,False
"iya, aku suka berkuda di pedesaan.","Ya, aku senang berkuda di daerah pedesaan.","yo, yai esuka berkuda ami pedesaan",True
"iya, aku suka berkuda di pedesaan.","iya, aku suka berkuda di pedesaan.","yo, yai esuka berkuda ami pedesaan",False
bagaimana pengaruh pengembangan diri terhadap kehidupan sehari-hari,Bagaimana dampak pengembangan diri terhadap kehidupan sehari-hari,akape adi pengaruh pengembangan diri buat ita hidup rerera,True
bagaimana pengaruh pengembangan diri terhadap kehidupan sehari-hari,bagaimana pengaruh pengembangan diri terhadap kehidupan sehari-hari,akape adi pengaruh pengembangan diri buat ita hidup rerera,False
bagaimana pandanganmu tentang pentingnya literasi hukum di kalangan remaja?,Bagaimana pandanganmu tentang pentingnya literasi hukum di kalangan remaja?,o pandangan akape adi pentingnya literasi hukum ami kalangan hukanak muda,True
bagaimana pandanganmu tentang pentingnya literasi hukum di kalangan remaja?,bagaimana pandanganmu tentang pentingnya literasi hukum di kalangan remaja?,o pandangan akape adi pentingnya literasi hukum ami kalangan hukanak muda,False
aku suka menangkap momen-momen indah dan unik.,Aku gemar mengabadikan momen-momen yang indah dan unik.,yai suka menangkap momen-momen indan adi unik,True
aku suka menangkap momen-momen indah dan unik.,aku suka menangkap momen-momen indah dan unik.,yai suka menangkap momen-momen indan adi unik,False
mobil listrik menjadi tren baru di industri otomotif,Mobil listrik kini menjadi tren baru dalam industri otomotif,mobil listrik menjadi tren beri-beri ami industri otomotif,True
mobil listrik menjadi tren baru di industri otomotif,mobil listrik menjadi tren baru di industri otomotif,mobil listrik menjadi tren beri-beri ami industri otomotif,False
bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya hak reproduksi,Bagaimana cara kita dapat meningkatkan kesadaran akan pentingnya hak reproduksi,akape ita cara bisa meningkatkan kesadaran akan pentingnya hal reproduksi,True
bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya hak reproduksi,bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya hak reproduksi,akape ita cara bisa meningkatkan kesadaran akan pentingnya hal reproduksi,False
kamu suka menghadiri pameran otomotif,Kamu senang menghadiri pameran otomotif,o suka misi pameran otomotif,True
kamu suka menghadiri pameran otomotif,kamu suka menghadiri pameran otomotif,o suka misi pameran otomotif,False
bagaimana cara kamu belajar tentang fesyen,Bagaimana metode yang kamu gunakan untuk mempelajari fesyen,akape adi o cara balajar tentang fesyen,True
bagaimana cara kamu belajar tentang fesyen,bagaimana cara kamu belajar tentang fesyen,akape adi o cara balajar tentang fesyen,False
bagaimana pandanganmu tentang pentingnya literasi sains di kalangan pelajar?,Bagaimana pendapatmu mengenai signifikansi literasi sains di kalangan pelajar?,o pandangan akape adi pentingnya literasi sains ami kalangan kapropir sakolah,True
bagaimana pandanganmu tentang pentingnya literasi sains di kalangan pelajar?,bagaimana pandanganmu tentang pentingnya literasi sains di kalangan pelajar?,o pandangan akape adi pentingnya literasi sains ami kalangan kapropir sakolah,False
saya ingin mengunjungi museum seni,Saya berkeinginan untuk mengunjungi museum seni,yai emau eti museum seni,True
saya ingin mengunjungi museum seni,saya ingin mengunjungi museum seni,yai emau eti museum seni,False
apa yang kamu pikirkan tentang fenomena urbanisasi di kota-kota besar,Bagaimana pandanganmu mengenai fenomena urbanisasi di kota-kota besar?,kwai kusafa yang o pikirkan tentang fenomena urbanisasi ami urag-urag magen,True
apa yang kamu pikirkan tentang fenomena urbanisasi di kota-kota besar,apa yang kamu pikirkan tentang fenomena urbanisasi di kota-kota besar,kwai kusafa yang o pikirkan tentang fenomena urbanisasi ami urag-urag magen,False
jus buah adalah minuman favorit saya,Jus buah merupakan minuman kesukaan saya.,jus kabubuan adalah eminuman favorit,True
jus buah adalah minuman favorit saya,jus buah adalah minuman favorit saya,jus kabubuan adalah eminuman favorit,False
apa yang kamu pikirkan tentang pentingnya menjaga kesehatan fisik dan mental?,Bagaimana pendapatmu mengenai pentingnya menjaga kesehatan fisik dan mental?,kwai kusafa yang o pikir adi pentingnya ta jaga kesehatan ita isi nena adi mental?,True
apa yang kamu pikirkan tentang pentingnya menjaga kesehatan fisik dan mental?,apa yang kamu pikirkan tentang pentingnya menjaga kesehatan fisik dan mental?,kwai kusafa yang o pikir adi pentingnya ta jaga kesehatan ita isi nena adi mental?,False
aku sangat bersemangat dan sedikit gugup.,Saya sangat antusias dan agak cemas.,yai sangat bersemangat adi gugup kurukisa,True
aku sangat bersemangat dan sedikit gugup.,aku sangat bersemangat dan sedikit gugup.,yai sangat bersemangat adi gugup kurukisa,False
bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya olahraga di sekolah?,Bagaimana cara meningkatkan kesadaran akan pentingnya olahraga di sekolah?,akape ita cara bisa ta tingkatkan kesadaran akan pentingnya olahraga ami sakolah?,True
bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya olahraga di sekolah?,bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya olahraga di sekolah?,akape ita cara bisa ta tingkatkan kesadaran akan pentingnya olahraga ami sakolah?,False
saya akan pergi ke toko alat bantu rumah tangga,Saya akan pergi ke toko peralatan rumah tangga.,emau eti toko parkakas rumah tangga,True
saya akan pergi ke toko alat bantu rumah tangga,saya akan pergi ke toko alat bantu rumah tangga,emau eti toko parkakas rumah tangga,False
jangan lupa memeriksa emailmu.,Pastikan untuk memeriksa emailmu.,bonis garar amgudaf cek oemail,True
jangan lupa memeriksa emailmu.,jangan lupa memeriksa emailmu.,bonis garar amgudaf cek oemail,False
bagaimana rencanamu untuk akhir pekan ini,Apa rencanamu untuk akhir pekan ini?,akape adi orencana buat rera uraga wait ige,True
bagaimana rencanamu untuk akhir pekan ini,bagaimana rencanamu untuk akhir pekan ini,akape adi orencana buat rera uraga wait ige,False
aku sedang belajar fotografi.,Saya tengah mempelajari fotografi.,yai sedang e balajar fotografi.,True
aku sedang belajar fotografi.,aku sedang belajar fotografi.,yai sedang e balajar fotografi.,False
